JobID,Title,CurriculumRoleID,CurriculumRoleTitle,CurriculumRoleEN,Company,Province,Salary,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,ApplyURL
TH-TQF-8.1-001,IT Support Officer (เจ้าหน้าที่สนับสนุนระบบคอมพิวเตอร์),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,SCB TechX,กรุงเทพมหานคร,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-1 ปี),0-1,windows; linux; hardware; troubleshooting; basic networking; active directory; ms office; helpdesk; backup,ติดตั้ง ดูแล บำรุงรักษาอุปกรณ์คอมพิวเตอร์และอุปกรณ์ต่อพ่วง; แก้ไขปัญหาฮาร์ดแวร์ ซอฟต์แวร์ และการเชื่อมต่อเครือข่าย; ให้คำแนะนำและช่วยเหลือผู้ใช้งาน (Helpdesk Support); ดูแลระบบสำรองข้อมูลและจัดการสิทธิ์ผู้ใช้งาน,windows; linux; hardware; troubleshooting; basic networking; active directory; ms office; helpdesk,https://jobs.blognone.com
TH-TQF-8.1-002,Desktop Support Specialist (เจ้าหน้าที่บริการเทคนิคและบำรุงรักษา),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,Bitkub Online,นนทบุรี,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-1 ปี),0-1,hardware; troubleshooting; windows 11; lan; tcp/ip; remote support; ticketing system; printer support; antivirus,รับเรื่องแจ้งซ่อมและแก้ไขปัญหาผ่านระบบ Ticket; ดูแลความพร้อมใช้งานของเครื่องคอมพิวเตอร์และอุปกรณ์สำนักงาน; ประสานงานกับทีมเครือข่ายและทีมพัฒนาระบบ; จัดทำคู่มือและบันทึกการแก้ไขปัญหาประจำวัน,hardware; troubleshooting; windows 11; lan; tcp/ip; remote support; ticketing system; printer support,https://jobs.blognone.com
TH-TQF-8.1-003,IT Service Desk Coordinator (เจ้าหน้าที่บริการสารสนเทศส่วนกลาง),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,G-Able Public Company Limited,เชียงใหม่,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-2 ปี),0-2,helpdesk; customer service; troubleshooting; active directory; office 365; google workspace; incident management; linux,ให้บริการ Support ผู้ใช้งานทั้งแบบ On-site และ Remote; จัดการบัญชีผู้ใช้งาน สิทธิ์การเข้าถึงอีเมล และระบบคลาวด์องค์กร; ตรวจสอบและประสานงานแก้ไขปัญหาเร่งด่วน; จัดทำรายงานสถิติการให้บริการไอทีประจำเดือน,helpdesk; customer service; troubleshooting; active directory; office 365; google workspace; incident management; linux,https://jobs.blognone.com
TH-TQF-8.1-004,Computer Systems Assistant (ผู้ช่วยดูแลระบบคอมพิวเตอร์และอุปกรณ์),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,Internet Thailand (INET),ภูเก็ต,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-1 ปี),0-1,windows; hardware; basic networking; ghost/clone; troubleshooting; ms office; inventory management,เตรียมเครื่องคอมพิวเตอร์และลงโปรแกรมมาตรฐานสำหรับพนักงานใหม่; จัดทำทะเบียนประวัติและตรวจนับทรัพย์สินอุปกรณ์ไอที; ดูแลห้องประชุมและระบบ Video Conference; ตรวจสอบความปลอดภัยทางกายภาพของอุปกรณ์,windows; hardware; basic networking; ghost/clone; troubleshooting; ms office; inventory management,https://jobs.blognone.com
TH-TQF-8.1-005,IT Operations & Infrastructure Support,8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,Wisesight (Thailand),กรุงเทพมหานคร,ตามโครงสร้างองค์กร / ตามประสบการณ์,Mid-Level / มีประสบการณ์ (1-3 ปี),1-3,windows server; linux; active directory; backup; cctv; access control; troubleshooting; hardware; helpdesk,ดูแลระบบปฏิบัติการ Windows/Linux และระบบสำรองข้อมูลองค์กร; ตรวจสอบการทำงานของระบบ Access Control และกล้องวงจรปิด; ประสานงานกับ Vendor ในการซ่อมบำรุงอุปกรณ์; ปรับปรุงคู่มือการทำงานด้านปฏิบัติการไอที,windows server; linux; active directory; backup; cctv; access control; troubleshooting; hardware,https://jobs.blognone.com
TH-TQF-8.1-006,Technical Customer Support (ฝ่ายเทคนิคและบริการลูกค้าไอที),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,AIS (Advanced Info Service),ปทุมธานี,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-1 ปี),0-1,troubleshooting; communication; web basics; sql basics; helpdesk; problem solving; customer service,รับเรื่องและวิเคราะห์ปัญหาการใช้งานระบบจากลูกค้า; ให้คำแนะนำวิธีการแก้ปัญหาเบื้องต้นผ่านโทรศัพท์และแชต; บันทึกข้อมูลข้อผิดพลาดเพื่อส่งต่อให้ทีมพัฒนาซอฟต์แวร์; ติดตามผลการแก้ปัญหาจนลูกค้าพึงพอใจ,troubleshooting; communication; web basics; sql basics; helpdesk; problem solving; customer service,https://jobs.blognone.com
TH-TQF-8.1-007,IT Support Officer (เจ้าหน้าที่สนับสนุนระบบคอมพิวเตอร์),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,Siam Commercial Bank,ขอนแก่น,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-1 ปี),0-1,windows; linux; hardware; troubleshooting; basic networking; active directory; ms office; helpdesk; backup,ติดตั้ง ดูแล บำรุงรักษาอุปกรณ์คอมพิวเตอร์และอุปกรณ์ต่อพ่วง; แก้ไขปัญหาฮาร์ดแวร์ ซอฟต์แวร์ และการเชื่อมต่อเครือข่าย; ให้คำแนะนำและช่วยเหลือผู้ใช้งาน (Helpdesk Support); ดูแลระบบสำรองข้อมูลและจัดการสิทธิ์ผู้ใช้งาน,windows; linux; hardware; troubleshooting; basic networking; active directory; ms office; helpdesk,https://jobs.blognone.com
TH-TQF-8.1-008,Desktop Support Specialist (เจ้าหน้าที่บริการเทคนิคและบำรุงรักษา),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,CJ Express Group (Technology Center),Remote (ทำงานจากที่บ้านทั่วไทย),ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-1 ปี),0-1,hardware; troubleshooting; windows 11; lan; tcp/ip; remote support; ticketing system; printer support; antivirus,รับเรื่องแจ้งซ่อมและแก้ไขปัญหาผ่านระบบ Ticket; ดูแลความพร้อมใช้งานของเครื่องคอมพิวเตอร์และอุปกรณ์สำนักงาน; ประสานงานกับทีมเครือข่ายและทีมพัฒนาระบบ; จัดทำคู่มือและบันทึกการแก้ไขปัญหาประจำวัน,hardware; troubleshooting; windows 11; lan; tcp/ip; remote support; ticketing system; printer support,https://jobs.blognone.com
TH-TQF-8.1-009,IT Service Desk Coordinator (เจ้าหน้าที่บริการสารสนเทศส่วนกลาง),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,SCB TechX,กรุงเทพมหานคร,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-2 ปี),0-2,helpdesk; customer service; troubleshooting; active directory; office 365; google workspace; incident management; hardware,ให้บริการ Support ผู้ใช้งานทั้งแบบ On-site และ Remote; จัดการบัญชีผู้ใช้งาน สิทธิ์การเข้าถึงอีเมล และระบบคลาวด์องค์กร; ตรวจสอบและประสานงานแก้ไขปัญหาเร่งด่วน; จัดทำรายงานสถิติการให้บริการไอทีประจำเดือน,helpdesk; customer service; troubleshooting; active directory; office 365; google workspace; incident management; hardware,https://jobs.blognone.com
TH-TQF-8.1-010,Computer Systems Assistant (ผู้ช่วยดูแลระบบคอมพิวเตอร์และอุปกรณ์),8.1,เจ้าหน้าที่คอมพิวเตอร์,Computer Officer / IT Support,Bitkub Online,สมุทรปราการ,ตามโครงสร้างองค์กร / ตามประสบการณ์,Entry-Level / เด็กจบใหม่ (0-1 ปี),0-1,windows; hardware; basic networking; ghost/clone; troubleshooting; ms office; inventory management,เตรียมเครื่องคอมพิวเตอร์และลงโปรแกรมมาตรฐานสำหรับพนักงานใหม่; จัดทำทะเบียนประวัติและตรวจนับทรัพย์สินอุปกรณ์ไอที; ดูแลห้องประชุมและระบบ Video Conference; ตรวจสอบความปลอดภัยทางกายภาพของอุปกรณ์,windows; hardware; basic networking; ghost/clone; troubleshooting; ms office; inventory management,https://jobs.blognone.com
